,fruit_label,rndm_fruit_id,rndm_def
0,acerola ,http://purl.obolibrary.org/obo/FOODON_00003593,A drupe fruit of an acerola plant.(Malpighia emarginata)
1,acorn ,http://purl.obolibrary.org/obo/FOODON_00003591,A nut fruit from an oak tree (Quercus).
2,acorn squash ,http://purl.obolibrary.org/obo/FOODON_00003599,A pepo fruit of an acorn squash plant (Cucurbita pepo var. ovifera).
3,akee ,http://purl.obolibrary.org/obo/FOODON_00003489,A fruit of an akee tree which is poisonous until cooked (Blighia sapida).
4,alaska blueberry ,http://purl.obolibrary.org/obo/FOODON_00004209,A whole raw Alaska blueberry.
5,almond ,http://purl.obolibrary.org/obo/FOODON_00003523,A drupe fruit of an almond plant (Prunus dulcis).
6,almond kernel ,http://purl.obolibrary.org/obo/FOODON_03311337,A kernel of an almond nut
7,amarelle cherry ,http://purl.obolibrary.org/obo/FOODON_00004214,A whole raw Amarelle cherry.
8,anjou pear ,http://purl.obolibrary.org/obo/FOODON_00004230,A whole pear from an Anjou pear tree.
9,apple ,http://purl.obolibrary.org/obo/FOODON_03301710,A whole raw apple is an apple harvested from an apple tree. It may include a stem. It has not been subject to cooking or preservation processes other than cold storage or waxing.
10,apricot ,http://purl.obolibrary.org/obo/FOODON_00003476,A drupe fruit of an apricot tree (Prunus armeniaca).
11,arabica coffee bean ,http://purl.obolibrary.org/obo/FOODON_00003399,A drupe fruit of the arabica coffee plant (Coffea arabica).
12,asian pear ,http://purl.obolibrary.org/obo/FOODON_00003607,A pome fruit of an asian pear plant (Pyrus pyrifolia)
13,avocado ,http://purl.obolibrary.org/obo/FOODON_03305236,A berry fruit of an avocado plant (Persea americana)
14,baby zucchini squash ,http://purl.obolibrary.org/obo/FOODON_03000098,A whole raw baby zucchini.
15,banana ,http://purl.obolibrary.org/obo/FOODON_00004183,A berry fruit from a banana tree (genus Musa).
16,banana passionfruit ,http://purl.obolibrary.org/obo/FOODON_00003608,A pepo fruit of a banana passionfruit plant.
17,banana pepper ,http://purl.obolibrary.org/obo/FOODON_03000126,A berry fruit of a banana pepper plant.
18,bayberry ,http://purl.obolibrary.org/obo/FOODON_00003609,"Bayberry is a sweet, crimson to dark purple-red, fruit from the Myrica rubra tree."
19,beechnut ,http://purl.obolibrary.org/obo/FOODON_00003627,A fruit of a beechtree.
20,bell pepper ,http://purl.obolibrary.org/obo/FOODON_00003546,A berry fruit in the Grossum cultivar group of a bell pepper plant.
21,berry ,http://purl.obolibrary.org/obo/FOODON_00003521,"A juicy, rounded, brightly colored fruit without a stone or pit, though pips or seeds may be present."
22,bitter gourd pod ,http://purl.obolibrary.org/obo/FOODON_03000108,A pod of a bitter gourd plant (Momordica charantia).
23,black currant ,http://purl.obolibrary.org/obo/FOODON_00003606,A black-purple berry fruit of a black currant plant (Ribes nigrum)
24,black grape ,http://purl.obolibrary.org/obo/FOODON_00003610,A berry fruit of a wine grape variety which have deep red or almost black skin.
25,black olive ,http://purl.obolibrary.org/obo/FOODON_00003025,A fully mature black/purple/brown colored drupe fruit of an olive tree (Olea europaea).
26,black raspberry ,http://purl.obolibrary.org/obo/FOODON_00003490,A drupelet fruit of a black raspberry plant (Rubus occidentalis).
27,black walnut ,http://purl.obolibrary.org/obo/FOODON_00003611,A drupe fruit of a walnut tree (Juglans nigra)
28,blackberry ,http://purl.obolibrary.org/obo/FOODON_00003487,A drupelet fruit of a blackberry plant.
29,blood orange ,http://purl.obolibrary.org/obo/FOODON_00004198,"A variety of orange (Citrus × sinensis) with crimson, almost blood-colored flesh."
30,blue plum ,http://purl.obolibrary.org/obo/FOODON_00003535,A drupe fruit of a blue plum plant.
31,blueberry ,http://purl.obolibrary.org/obo/FOODON_00003541,A berry fruit of a blueberry plant.
32,bosc pear ,http://purl.obolibrary.org/obo/FOODON_00002509,"The Beurré Bosc or Bosc is a cultivar of the European Pear (Pyrus communis) from France or Belgium originally. Also known as the Kaiser , it is grown in Europe, Australia, British Columbia and Ontario, Canada, and the northwestern U.S. states of California, Washington, and Oregon;"
33,boysenberry ,http://purl.obolibrary.org/obo/FOODON_00003556,A drupelet fruit of a boysenberry plant (R. ursinus × R. idaeus).
34,bramble berry ,http://purl.obolibrary.org/obo/FOODON_00003775,A berry fruit of a bramble berry plant.
35,breadfruit ,http://purl.obolibrary.org/obo/FOODON_00003628,A fruit multiple of a breadfruit tree (Artocarpus altilis)
36,butternut squash ,http://purl.obolibrary.org/obo/FOODON_00002981,A squash harvested from the butternut squash plant.
37,california valencia orange ,http://purl.obolibrary.org/obo/FOODON_03309926,A hesperidium fruit of a california valencia orange plant.
38,cantaloupe ,http://purl.obolibrary.org/obo/FOODON_00003577,A pepo fruit of a cantaloupe plant (Cucumis melo var. cantalupo).
39,casaba melon ,http://purl.obolibrary.org/obo/FOODON_00004210,A pepo fruit from a casaba melon plant.
40,cashew nut ,http://purl.obolibrary.org/obo/FOODON_00003615,A nut fruit from a cashew tree (Anacardium occidentale)
41,cavendish banana ,http://purl.obolibrary.org/obo/FOODON_03316257,A berry fruit of a banana tree (Musa acuminata AAA Group).
42,cayenne pepper ,http://purl.obolibrary.org/obo/FOODON_00003798,A berry fruit of a cayenne pepper plant cultivar.
43,chayote ,http://purl.obolibrary.org/obo/FOODON_00003653,A pepo fruit of a chayote plant (Sicyos edulis)
44,cherimoya fruit ,http://purl.obolibrary.org/obo/FOODON_00003616,A fruit of a cherimoya plant (Annona cherimola)
45,cherry ,http://purl.obolibrary.org/obo/FOODON_03301240,An edible drupe fruit of a cherry plant.
46,chestnut ,http://purl.obolibrary.org/obo/FOODON_00003563,A nut fruit of a chestnut tree (Castanea).
47,chili pepper ,http://purl.obolibrary.org/obo/FOODON_00003744,A berry fruit of a chili pepper plant.
48,chinese chestnut ,http://purl.obolibrary.org/obo/FOODON_00004260,A whole chestnut from a chinese chestnut tree (Castanea mollissima).
49,chokecherry ,http://purl.obolibrary.org/obo/FOODON_00004222,A whole berry of a chokecherry plant (Prunus virginiana).
50,citron ,http://purl.obolibrary.org/obo/FOODON_03306596,A hesperidium fruit of a citron plant (Citrus medica).
51,citrus fruit ,http://purl.obolibrary.org/obo/FOODON_03301337,A hesperidium fruit of a citrus plant (Citrus).
52,clementine ,http://purl.obolibrary.org/obo/FOODON_03303079,A hesperidium fruit of a clementine plant (Citrus clementina)
53,clingstone peach ,http://purl.obolibrary.org/obo/FOODON_00003481,A peach with a pit that clings to the pulp of the fruit.
54,cloudberry ,http://purl.obolibrary.org/obo/FOODON_00003480,A drupelet fruit of a cloudberry plant (Rubus chamaemorus).
55,coconut ,http://purl.obolibrary.org/obo/FOODON_00003449,A drupe fruit of a coconut palm tree (Cocos nucifera).
56,common hazelnut ,http://purl.obolibrary.org/obo/FOODON_00003418,A nut fruit of a common hazelnut tree (Corylus avellana)
57,common pear ,http://purl.obolibrary.org/obo/FOODON_00003576,A pome fruit of a common pear plant (Pyrus communis)
58,cowpea pod ,http://purl.obolibrary.org/obo/FOODON_03000101,A young pod of a cowpea plant (Vigna unguiculata).
59,crabapple ,http://purl.obolibrary.org/obo/FOODON_00003651,A pome fruit from a crabapple tree.
60,cranberry ,http://purl.obolibrary.org/obo/FOODON_00003657,A berry fruit of a cranberry plant.
61,crookneck squash ,http://purl.obolibrary.org/obo/FOODON_03000081,A cultivar of Cucurbita pepo.
62,cucumber ,http://purl.obolibrary.org/obo/FOODON_00003415,A pepo fruit of a cucumber plant (Cucumis sativus).
63,cupuaçu fruit ,http://purl.obolibrary.org/obo/FOODON_00003617,A fruit from a cupuaçu plant (Theobroma grandiflorum).
64,custard apple ,http://purl.obolibrary.org/obo/FOODON_00003660,An aggregate fruit of a custard apple plant (Annona squamosa).
65,d'anjou pear ,http://purl.obolibrary.org/obo/FOODON_00004230,A whole pear from an Anjou pear tree.
66,date ,http://purl.obolibrary.org/obo/FOODON_03301246,A drupe fruit of a date plant (Phoenix dactylifera)
67,dewberry ,http://purl.obolibrary.org/obo/FOODON_00003557,A drupelet fruit of a dewberry plant.
68,durian ,http://purl.obolibrary.org/obo/FOODON_00003665,A fruit from a durian tree.
69,eggplant ,http://purl.obolibrary.org/obo/FOODON_00003618,A berry fruit of an eggplant (Solanum melongena)
70,elderberry ,http://purl.obolibrary.org/obo/FOODON_00003678,A berry fruit of an elderberry plant.
71,endive head ,http://purl.obolibrary.org/obo/FOODON_00004236,A rosette of an endive plant.
72,english walnut ,http://purl.obolibrary.org/obo/FOODON_00004148,A drupe fruit of an english walnut tree (Juglans regia).
73,european chestnut ,http://purl.obolibrary.org/obo/FOODON_00003655,A nut fruit from an european chestnut tree (Castanea sativa)
74,european plum ,http://purl.obolibrary.org/obo/FOODON_00004149,A drupe fruit of a European plum bush (Prunus domestica).
75,fennel bulb ,http://purl.obolibrary.org/obo/FOODON_03000120,A fruit of a fennel plant (Foeniculum vulgare).
76,fennel seed ,http://purl.obolibrary.org/obo/FOODON_00004266,A whole seed from a fennel plant (Foeniculum).
77,fig ,http://purl.obolibrary.org/obo/FOODON_00003266,A fruit multiple of a fig plant (Ficus carica).
78,filbert nut ,http://purl.obolibrary.org/obo/FOODON_00003669,A nut fruit of a filbert plant (Corylus maxima).
79,freestone peach ,http://purl.obolibrary.org/obo/FOODON_00003482,A peach with a pit that is easily seperable from its fruit pulp.
80,fuji apple ,http://purl.obolibrary.org/obo/FOODON_00002862,A pome fruit of a Fuji apple tree cultivar.
81,fuzzy kiwifruit ,http://purl.obolibrary.org/obo/FOODON_00003578,A berry fruit of a kiwifruit plant (Actinidia deliciosa).
82,gala apple ,http://purl.obolibrary.org/obo/FOODON_00003348,A pome fruit of a Gala apple tree cultivar.
83,golden delicious apple ,http://purl.obolibrary.org/obo/FOODON_00004202,A pome fruit of a Golden Delicious apple tree cultivar.
84,golden kiwifruit ,http://purl.obolibrary.org/obo/FOODON_00004133,A berry fruit from an Actinidia chinensis tree
85,golden oriental grapefruit ,http://purl.obolibrary.org/obo/FOODON_03306687,None
86,gooseberry ,http://purl.obolibrary.org/obo/FOODON_00003543,A berry fruit of a gooseberry plant (Ribes uva-crispa).
87,granny smith apple ,http://purl.obolibrary.org/obo/FOODON_00002853,A pome fruit of a Granny Smith apple tree cultivar.
88,grape ,http://purl.obolibrary.org/obo/FOODON_00003417,A berry fruit of a grape plant.
89,grape tomato ,http://purl.obolibrary.org/obo/FOODON_00003299,"A class of tomatoes believed to be of southeast Asian origin, shaped similarly to the oval plum tomatoes but having the small size and sweetness of cherry tomatoes. Grape tomatoes produce small and typically oblong fruits."
90,grapefruit ,http://purl.obolibrary.org/obo/FOODON_03301702,A hesperidium fruit of a grapefruit tree (Citrus x paradisi).
91,green anjou pear ,http://purl.obolibrary.org/obo/FOODON_00004233,A whole raw green D'Anjou pear.
92,green bean pod ,http://purl.obolibrary.org/obo/FOODON_03305806,"An unripe, young fruit of various cultivars of a common bean plant (Phaseolus vulgaris)."
93,green d'anjou pear ,http://purl.obolibrary.org/obo/FOODON_00004233,A whole raw green D'Anjou pear.
94,green olive ,http://purl.obolibrary.org/obo/FOODON_03301269,None
95,green tomato ,http://purl.obolibrary.org/obo/FOODON_03309573,A berry fruit of a green tomato plant.
